Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº  de Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Contínuo);Conceito Enade (Faixa);Observação
2019;6208;ENGENHARIA DE PRODUÇÃO;1586;UNIVERSIDADE DO VALE DO SAPUCAÍ;UNIVÁS;Universidade;Privada sem fins lucrativos;109539;Educação Presencial;3152501;Pouso Alegre;MG;47;42;332.238;18.036;330.548;12.857;14.151;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1590;FACULDADE ESTÁCIO DE SÃO LUÍS;ESTÁCIO SÃO LUÍS;Faculdade;Privada com fins lucrativos;1260719;Educação Presencial;2111300;São Luís;MA;51;47;30.8;15.097;270.745;0.5878;0.8183;1;
2019;6208;ENGENHARIA DE PRODUÇÃO;1598;FACULDADE UNA DE UBERLÂNDIA;UNA;Faculdade;Privada com fins lucrativos;117910;Educação Presencial;3170206;Uberlândia;MG;38;31;332.581;18.077;354.774;15.684;16.282;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1599;CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES;UNIPTAN;Centro Universitário;Privada com fins lucrativos;1257682;Educação Presencial;3162500;São João del Rei;MG;37;35;389.829;25.019;466.429;28.713;2.779;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1632;FACULDADE PITÁGORAS DE LONDRINA;;Faculdade;Privada com fins lucrativos;1049445;Educação Presencial;4113700;Londrina;PR;6;5;27.66;11.289;36.2;16.527;15.218;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1639;FACULDADE HÉLIO ROCHA;FHR;Faculdade;Privada com fins lucrativos;1177416;Educação Presencial;2927408;Salvador;BA;5;5;30.02;14.151;25.22;0.3714;0.6323;1;
2019;6208;ENGENHARIA DE PRODUÇÃO;1643;FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA;FAT;Faculdade;Privada sem fins lucrativos;1152643;Educação Presencial;2910800;Feira de Santana;BA;12;12;465.417;34.185;47.6;2.983;30.919;4;
2019;6208;ENGENHARIA DE PRODUÇÃO;1659;FACULDADE ESTÁCIO DE SÁ DE OURINHOS;FAESO;Faculdade;Privada com fins lucrativos;1167314;Educação Presencial;3534708;Ourinhos;SP;44;43;247.884;0.7807;347.884;1.488;13.112;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1660;CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA;ESTÁCIO BRASÍLIA;Centro Universitário;Privada com fins lucrativos;117635;Educação Presencial;5300108;Brasília;DF;52;42;350.214;20.216;378.119;18.408;1.886;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1666;CENTRO UNIVERSITÁRIO UNIHORIZONTES;;Centro Universitário;Privada com fins lucrativos;1258323;Educação Presencial;3106200;Belo Horizonte;MG;44;43;39.786;25.993;387.814;19.539;21.153;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1670;FACULDADE ASA DE BRUMADINHO;IECEMB - FAB;Faculdade;Privada com fins lucrativos;1260606;Educação Presencial;3109006;Brumadinho;MG;25;24;358.792;21.256;352.125;15.375;16.845;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1675;FACULDADE METROPOLITANA DA GRANDE RECIFE;UNESJ;Faculdade;Privada sem fins lucrativos;1163983;Educação Presencial;2607901;Jaboatão dos Guararapes;PE;27;20;31.765;16.267;31.975;11.597;12.764;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1682;FACULDADE SALESIANA MARIA AUXILIADORA;FSMA;Faculdade;Privada sem fins lucrativos;67595;Educação Presencial;3302403;Macaé;RJ;33;27;446.704;31.916;419.259;23.209;25.386;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1692;ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE PORTO FERREIRA;ESPF;Faculdade;Privada com fins lucrativos;1258087;Educação Presencial;3540705;Porto Ferreira;SP;19;17;314.706;1.591;330.471;12.848;13.613;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1694;ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI;ESUCRI;Faculdade;Privada com fins lucrativos;1160457;Educação Presencial;4204608;Criciúma;SC;16;15;39.26;25.355;470.267;29.161;2.821;3;
